title,paragraphs
Can we declare the main method of our class as private?,"In java, main method must be public static in order to run any application correctly. If main method is declared as private, developer won't get any compilation error however, it will not get executed and will give a runtime error."
How can we pass argument to a function by reference instead of pass by value?,"In java, we can pass argument to a function only by value and not by reference."
How an object is serialized in java?,"In java, to convert an object into byte stream by serialization, an interface with the name Serializable is implemented by the class. All objects of a class implementing serializable interface get serialized and their state is saved in byte stream."
When we should use serialization?,"Serialization is used when data needs to be transmitted over the network. Using serialization, object's state is saved and converted into byte stream .The byte stream is transferred over the network and the object is re-created at destination."
Is it compulsory for a Try Block to be followed by a Catch Block in Java for Exception handling?,Try block needs to be followed by either Catch block or Finally block or both. Any exception thrown from try block needs to be either caught in the catch block or else any specific tasks to be performed before code abortion are put in the Finally block.
Is there any way to skip Finally block of exception even if some exception occurs in the exception block?,"If an exception is raised in Try block, control passes to catch block if it exists otherwise to finally block. Finally block is always executed when an exception occurs and the only way to avoid execution of any statements in Finally block is by aborting the code forcibly by writing following line of code at the end of try block:
 
 System.exit(0);"
When the constructor of a class is invoked?,"The constructor of a class is invoked every time an object is created with new keyword.
 
 For example, in the following class two objects are created using new keyword and hence, constructor is invoked two times.
 
 public class const_example {
 
  const_example() {
 
  system.out.println(""Inside constructor"");
  }
  public static void main(String args[]) {
 
  const_example c1 = new const_example();
 
  const_example c2 = new const_example();
  }
 }"
Can a class have multiple constructors?,"Yes, a class can have multiple constructors with different parameters. Which constructor gets used for object creation depends on the arguments passed while creating the objects."
Can we override static methods of a class?,"We cannot override static methods. Static methods belong to a class and not to individual objects and are resolved at the time of compilation (not at runtime).Even if we try to override static method,we will not get an complitaion error,nor the impact of overriding when running the code."
Is String a data type in java?,"String is not a primitive data type in java. When a string is created in java, it's actually an object of Java.Lang.String class that gets created. After creation of this string object, all built-in methods of String class can be used on the string object."
Why Strings in Java are called as Immutable?,"In java, string objects are called immutable as once value has been assigned to a string, it can't be changed and if changed, a new object is created.
 
 In below example, reference str refers to a string object having value ""Value one"".
 
 String str=""Value One"";
 When a new value is assigned to it, a new String object gets created and the reference is moved to the new object.
 
 str=""New Value"";"
What's the difference between an array and Vector?,An array groups data of same primitive type and is static in nature while vectors are dynamic in nature and can hold data of different data types.
What is multi-threading?,Multi threading is a programming concept to run multiple tasks in a concurrent manner within a single program. Threads share same process stack and running in parallel. It helps in performance improvement of any program.
Why Runnable Interface is used in Java?,Runnable interface is used in java for implementing multi threaded applications. Java.Lang.Runnable interface is implemented by a class to support multi threading.
What are the two ways of implementing multi-threading in Java?,"Multi threaded applications can be developed in Java by using any of the following two methodologies:
 
 1. By using Java.Lang.Runnable Interface. Classes implement this interface to enable multi threading. There is a Run() method in this interface which is implemented.
 
 2. By writing a class that extend Java.Lang.Thread class."
"When a lot of changes are required in data, which one should be a preference to be used? String or StringBuffer?","Since StringBuffers are dynamic in nature and we can change the values of StringBuffer objects unlike String which is immutable, it's always a good choice to use StringBuffer when data is being changed too much. If we use String in such a case, for every data change a new String object will be created which will be an extra overhead."
What's the purpose of using Break in each case of Switch Statement?,"Break is used after each case (except the last one) in a switch so that code breaks after the valid case and doesn't flow in the proceeding cases too.
 
 If break isn't used after each case, all cases after the valid case also get executed resulting in wrong results."
How garbage collection is done in Java?,"In java, when an object is not referenced any more, garbage collection takes place and the object is destroyed automatically. For automatic garbage collection java calls either System.gc() method or Runtime.gc() method."
How we can execute any code even before main method?,"If we want to execute any statements before even creation of objects at load time of class, we can use a static block of code in the class. Any statements inside this static block of code will get executed once at the time of loading the class even before creation of objects in the main method."
Can a class be a super class and a sub-class at the same time? Give example.,"If there is a hierarchy of inheritance used, a class can be a super class for another class and a sub-class for another one at the same time.
 
 In the example below, continent class is sub-class of world class and it's super class of country class.
 
 public class world {
 
 ..........
 
 }
 public class continenet extends world {
 
 ............
 
 }
 public class country extends continent {
 
 ......................
 
 }"
How objects of a class are created if no constructor is defined in the class?,"Even if no explicit constructor is defined in a java class, objects get created successfully as a default constructor is implicitly used for object creation. This constructor has no parameters."
In multi-threading how can we ensure that a resource isn't used by multiple threads simultaneously?,"In multi-threading, access to the resources which are shared among multiple threads can be controlled by using the concept of synchronization. Using synchronized keyword, we can ensure that only one thread can use shared resource at a time and others can get control of the resource only once it has become free from the other one using it."
Can we call the constructor of a class more than once for an object?,"Constructor is called automatically when we create an object using new keyword. It's called only once for an object at the time of object creation and hence, we can't invoke the constructor again for an object after its creation."
. There are two classes named classA and classB. Both classes are in the same package. Can a private member of classA can be accessed by an object of classB?,Private members of a class aren't accessible outside the scope of that class and any other class even in the same package can't access them.
Can we have two methods in a class with the same name?,"We can define two methods in a class with the same name but with different number/type of parameters. Which method is to get invoked will depend upon the parameters passed.
 
 For example in the class below we have two print methods with same name but different parameters. Depending upon the parameters, appropriate one will be called:
 
 public class methodExample {
 
  public void print() {
 
  system.out.println(""Print method without parameters."");
 
  }
 
  public void print(String name) {
 
  system.out.println(""Print method with parameter"");
 
  }
 
  public static void main(String args[]) {
 
  methodExample obj1 = new methodExample();
 
  obj1.print();
 
  obj1.print(""xx"");
 
  }
 
 }"
How can we make copy of a java object?,"We can use the concept of cloning to create copy of an object. Using clone, we create copies with the actual state of an object.
 
 Clone() is a method of Cloneable interface and hence, Cloneable interface needs to be implemented for making object copies."
What's the benefit of using inheritance?,Key benefit of using inheritance is reusability of code as inheritance enables sub-classes to reuse the code of its super class. Polymorphism (Extensibility ) is another great benefit which allow new functionality to be introduced without effecting existing derived classes.
What's the default access specifier for variables and methods of a class?,"Default access specifier for variables and method is package protected i.e variables and class is available to any other class but in the same package,not outside the package."
Give an example of use of Pointers in Java class.,There are no pointers in Java. So we can't use concept of pointers in Java.
How can we restrict inheritance for a class so that no class can be inherited from it?,"If we want a class not to be extended further by any class, we can use the keyword Final with the class name.
 
 In the following example, Stone class is Final and can't be extend
 
 public Final Class Stone {
 // Class methods and Variables
 }"
What's difference between Stack and Queue?,Stack and Queue both are used as placeholder for a collection of data. The primary difference between a stack and a queue is that stack is based on Last in First out (LIFO) principle while a queue is based on FIFO (First In First Out) principle.
"In java, how we can disallow serialization of variables?","If we want certain variables of a class not to be serialized, we can use the keyword transient while declaring them. For example, the variable trans_var below is a transient variable and can't be serialized:
 
 public class transientExample { 
 private transient trans_var; 
  // rest of the code 
 }"
How can we use primitive data types as objects?,"Primitive data types like int can be handled as objects by the use of their respective wrapper classes. For example, Integer is a wrapper class for primitive data type int. We can apply different methods to a wrapper class, just like any other object."
Which types of exceptions are caught at compile time?,Checked exceptions can be caught at the time of program compilation. Checked exceptions must be handled by using try catch block in the code in order to successfully compile the code.
Describe different states of a thread.,"A thread in Java can be in either of the following states:
 
 Ready: When a thread is created, it's in Ready state.
 Running: A thread currently being executed is in running state.
 Waiting: A thread waiting for another thread to free certain resources is in waiting state.
 Dead: A thread which has gone dead after execution is in dead state."
Can we use a default constructor of a class even if an explicit constructor is defined?,"Java provides a default no argument constructor if no explicit constructor is defined in a Java class. But if an explicit constructor has been defined, default constructor can't be invoked and developer can use only those constructors which are defined in the class."
Can we override a method by using same method name and arguments but different return types?,"The basic condition of method overriding is that method name, arguments as well as return type must be exactly same as is that of the method being overridden. Hence using a different return type doesn't override a method."
A person says that he compiled a java class successfully without even having a main method in it? Is it possible?,main method is an entry point of Java class and is required for execution of the program however; a class gets compiled successfully even if it doesn't have a main method. It can't be run though.
. Can we call a non-static method from inside a static method?,"Non-Static methods are owned by objects of a class and have object level scope and in order to call the non-Static methods from a static block (like from a static main method), an object of the class needs to be created first. Then using object reference, these methods can be invoked."
What are the two environment variables that must be set in order to run any Java programs?,"Java programs can be executed in a machine only once following two environment variables have been properly set:
 
 PATH variable
 CLASSPATH variable"
Can variables be used in Java without initialization?,"In Java, if a variable is used in a code without prior initialization by a valid value, program doesn't compile and gives an error as no default value is assigned to variables in Java."
Can a class in Java be inherited from more than one class?,"In Java, a class can be derived from only one class and not from multiple classes. Multiple inheritances is not supported by Java."
Can a constructor have different name than a Class name in Java?,"Constructor in Java must have same name as the class name and if the name is different, it doesn't act as a constructor and compiler thinks of it as a normal method."
What will be the output of Round(3.7) and Ceil(3.7)?,Round(3.7) returns 4 and Ceil(3.7) returns 4.
Can we use goto in Java to go to a particular line?,"In Java, there is not goto keyword and java doesn't support this feature of going to a particular labeled line."
Can a dead thread be started again?,"In java, a thread which is in dead state can't be started again. There is no way to restart a dead thread."
Is JDK required on each machine to run a Java program?,"JDK is development Kit of Java and is required for development only and to run a Java program on a machine, JDK isn't required. Only JRE is required."
What's the difference between comparison done by equals method and == operator?,"In Java, equals() method is used to compare the contents of two string objects and returns true if the two have same value while == operator compares the references of two string objects.
 
 In the following example, equals() returns true as the two string objects have same values. However == operator returns false as both string objects are referencing to different objects:
 
 public class equalsTest {
 
  public static void main(String args[]) {
 
  String str1 = new String(""Hello World"");
 
  String str2 = new String(""Hello World"");
 
  if (str1.equals(str2))
 
  { // this condition is true
 
  System.out.println(""str1 and str2 are equal in terms of values"");
 
  }
 
  if (str1 == str2) {
 
  //This condition is true
 
  System.out.println(""Both strings are referencing same object"");
 
  } else
 
  {
 
  // This condition is NOT true
 
  System.out.println(""Both strings are referencing different objects"");
 
  }
 
  }
 
 }"
. Is it possible to define a method in Java class but provide it's implementation in the code of another language like C?,"we can do this by use of native methods. In case of native method based development, we define public static methods in our Java class without its implementation and then implementation is done in another language like C separately."
How are destructors defined in Java?,"In Java, there are no destructors defined in the class as there is no need to do so. Java has its own garbage collection mechanism which does the job automatically by destroying the objects when no longer referenced."
Can a variable be local and static at the same time?,No a variable can't be static as well as local at the same time. Defining a local variable as static gives compilation error.
Can we have static methods in an Interface?,Static methods can't be overridden in any class while any methods in an interface are by default abstract and are supposed to be implemented in the classes being implementing the interface. So it makes no sense to have static methods in an interface in Java.
"In a class implementing an interface, can we change the value of any variable defined in the interface?","No, we can't change the value of any variable of an interface in the implementing class as all variables defined in the interface are by default public, static and Final and final variables are like constants which can't be changed later."
"Is it correct to say that due to garbage collection feature in Java, a java program never goes out of memory?","Even though automatic garbage collection is provided by Java, it doesn't ensure that a Java program will not go out of memory as there is a possibility that creation of Java objects is being done at a faster pace compared to garbage collection resulting in filling of all the available memory resources.
 
 So, garbage collection helps in reducing the chances of a program going out of memory but it doesn't ensure that."
Can we have any other return type than void for main method?,"No, Java class main method can have only void return type for the program to get successfully executed.
 
 Nonetheless , if you absolutely must return a value to at the completion of main method , you can use System.exit(int status)"
I want to re-reach and use an object once it has been garbage collected. How it's possible?,"Once an object has been destroyed by garbage collector, it no longer exists on the heap and it can't be accessed again. There is no way to reference it again."
"In Java thread programming, which method is a must implementation for all threads?",Run() is a method of Runnable interface that must be implemented by all threads.
I want to control database connections in my program and want that only one thread should be able to make database connection at a time. How can I implement this logic?,This can be implemented by use of the concept of synchronization. Database related code can be placed in a method which hs synchronized keyword so that only one thread can access it at a time.
How can an exception be thrown manually by a programmer?,"In order to throw an exception in a block of code manually, throw keyword is used. Then this exception is caught and handled in the catch block.
 
 public void topMethod() {
  try {
  excMethod();
  } catch (ManualException e) {}
 }
 
 public void excMethod {
  String name = null;
  if (name == null) {
  throw (new ManualException(""Exception thrown manually "");
  }
  }"
I want my class to be developed in such a way that no other class (even derived class) can create its objects. How can I do so?,"If we declare the constructor of a class as private, it will not be accessible by any other class and hence, no other class will be able to instantiate it and formation of its object will be limited to itself only."
How objects are stored in Java?,"In java, each object when created gets a memory space from a heap. When an object is destroyed by a garbage collector, the space allocated to it from the heap is re-allocated to the heap and becomes available for any new objects."
How can we find the actual size of an object on the heap?,"In java, there is no way to find out the exact size of an object on the heap."
What happens if an exception is not handled in a program?,"If an exception is not handled in a program using try catch blocks, program gets aborted and no statement executes after the statement which caused exception throwing."
I have multiple constructors defined in a class. Is it possible to call a constructor from another constructor's body?,"If a class has multiple constructors, it's possible to call one constructor from the body of another one using this()."
What's meant by anonymous class?,"An anonymous class is a class defined without any name in a single line of code using new keyword.
 
 For example, in below code we have defined an anonymous class in one line of code:
 
 public java.util.Enumeration testMethod()
 
 {
 
  return new java.util.Enumeration()
 
  {
 
  @Override
 
  public boolean hasMoreElements()
 
  {
 
  // TODO Auto-generated method stub
 
  return false;
 
  }
 
  @Override
 
  public Object nextElement()
 
  {
 
  // TODO Auto-generated method stub
 
  return null;
 
  }
 
  }"
Is there a way to increase the size of an array after its declaration?,"Arrays are static and once we have specified its size, we can't change it. If we want to use such collections where we may require a change of size ( no of items), we should prefer vector over array."
"If an application has multiple classes in it, is it okay to have a main method in more than one class?","If there is main method in more than one classes in a java application, it won't cause any issue as entry point for any application will be a specific class and code will start from the main method of that particular class only."
I want to persist data of objects for later use. What's the best approach to do so?,The best way to persist data for future use is to use the concept of serialization.
What is a Local class in Java?,"In Java, if we define a new class inside a particular block, it's called a local class. Such a class has local scope and isn't usable outside the block where its defined."
String and StringBuffer both represent String objects. Can we compare String and StringBuffer in Java?,"Although String and StringBuffer both represent String objects, we can't compare them with each other and if we try to compare them, we get an error."
Which API is provided by Java for operations on set of objects?,"Java provides a Collection API which provides many useful methods which can be applied on a set of objects. Some of the important classes provided by Collection API include ArrayList, HashMap, TreeSet and TreeMap."
Can we cast any other type to Boolean Type with type casting?,"No, we can neither cast any other primitive type to Boolean data type nor can cast Boolean data type to any other primitive data type."
Can we use different return types for methods when overridden?,"The basic requirement of method overriding in Java is that the overridden method should have same name, and parameters.But a method can be overridden with a different return type as long as the new return type extends the original.
 
 For example , method is returning a reference type.
 
 Class B extends A {
 
  A method(int x) {
 
  //original method
 
  }
 
  B method(int x) {
 
  //overridden method
 
  }
 
 }"
What's the base class of all exception classes?,"In Java, Java.lang.Throwable is the super class of all exception classes and all exception classes are derived from this base class."
What's the order of call of constructors in inheritance?,"In case of inheritance, when a new object of a derived class is created, first the constructor of the super class is invoked and then the constructor of the derived class is invoked."
